# LAMMPS data file written by OVITO Pro 3.15.4

2669 atoms
498 bonds
1 atom types
10 bond types

20.0 0.0 0.0 avec
0.0 20.0 0.0 bvec
0.0 0.0 60.0 cvec
0.0 0.0 0.0 abc origin

Atoms  # sphere

79 1 1.0 0.0 3.22207 0.104462 0.499992 0 0 0
112 1 1.0 0.0 4.88443 0.451472 0.499914 0 0 0
12 1 1.0 0.0 6.81355 0.143821 0.499985 0 0 0
22 1 1.0 0.0 10.5578 0.277301 0.499889 0 0 0
436 1 1.0 0.0 12.0323 0.0119424 0.499995 0 1 0
129 1 1.0 0.0 13.2109 0.367461 0.499946 0 0 0
37 1 1.0 0.0 14.4576 0.672393 0.499928 0 0 0
530 1 1.0 0.0 15.5478 0.552657 0.499925 0 0 0
570 1 1.0 0.0 16.9923 0.495164 0.499986 0 0 0
52 1 1.0 0.0 17.9919 0.465882 0.499962 0 0 0
1260 1 1.0 0.0 18.9821 0.387229 0.615681 0 0 0
388 1 1.0 0.0 0.797407 1.28351 0.499957 0 0 0
141 1 1.0 0.0 3.42528 1.17457 0.499943 0 0 0
147 1 1.0 0.0 5.74986 0.964683 0.499995 0 0 0
71 1 1.0 0.0 6.76228 1.14249 0.499947 0 0 0
164 1 1.0 0.0 8.34595 0.726345 0.499969 0 0 0
117 1 1.0 0.0 9.35386 0.734544 0.499973 0 0 0
529 1 1.0 0.0 10.2275 1.22112 0.49997 0 0 0
260 1 1.0 0.0 11.3027 0.944505 0.499949 0 0 0
244 1 1.0 0.0 12.394 0.944245 0.499983 0 0 0
198 1 1.0 0.0 13.3635 1.35598 0.499966 0 0 0
29 1 1.0 0.0 17.48 1.38897 0.499987 0 0 0
414 1 1.0 0.0 18.5519 1.29441 0.499989 0 0 0
230 1 1.0 0.0 2.36762 1.60278 0.499995 0 0 0
56 1 1.0 0.0 3.85857 2.08889 0.499954 0 0 0
523 1 1.0 0.0 4.72192 1.43818 0.499992 0 0 0
236 1 1.0 0.0 5.8234 1.96362 0.499954 0 0 0
24 1 1.0 0.0 7.72718 1.51355 0.49989 0 0 0
82 1 1.0 0.0 9.30612 1.73337 0.499971 0 0 0
185 1 1.0 0.0 10.9723 1.88833 0.499935 0 0 0
246 1 1.0 0.0 12.1335 1.90972 0.499995 0 0 0
77 1 1.0 0.0 14.3307 1.66421 0.499911 0 0 0
312 1 1.0 0.0 15.3529 1.53346 0.499941 0 0 0
630 1 1.0 0.0 19.1778 2.07427 0.499918 0 0 0
868 1 1.0 0.0 0.958033 2.61169 0.499992 0 0 0
83 1 1.0 0.0 3.03606 2.6911 0.499995 0 0 0
189 1 1.0 0.0 4.93203 2.4168 0.49991 0 0 0
611 1 1.0 0.0 7.32731 2.43012 0.499984 0 0 0
325 1 1.0 0.0 8.51625 2.36316 0.499995 0 0 0
297 1 1.0 0.0 9.46286 2.72099 0.499998 0 0 0
51 1 1.0 0.0 10.4625 2.74853 0.499955 0 0 0
32 1 1.0 0.0 11.5379 2.71299 0.49999 0 0 0
25 1 1.0 0.0 13.056 2.31698 0.499995 0 0 0
47 1 1.0 0.0 14.9329 2.46255 0.499964 0 0 0
